name,category,price,unit,stock,image,description,sourcing,storage,variations
"Apple Gala (गाला सेव)","Fruits",260,"1 kg",80,"https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?auto=format&fit=crop&w=600&q=80","100% farm-fresh Apple Gala (गाला सेव) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":73,""stock"":40},{""weight"":""500g"",""price"":135,""stock"":50},{""weight"":""1 kg"",""price"":260,""stock"":60},{""weight"":""2 kg"",""price"":507,""stock"":30}]"
"Papaya (पपीता)","Fruits",86,"1 kg",80,"https://images.unsplash.com/photo-1517282009859-f000ec3b26fe?auto=format&fit=crop&w=600&q=80","100% farm-fresh Papaya (पपीता) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":24,""stock"":40},{""weight"":""500g"",""price"":45,""stock"":50},{""weight"":""1 kg"",""price"":86,""stock"":60},{""weight"":""2 kg"",""price"":168,""stock"":30}]"
"Banana (केला)","Fruits",76,"1 kg",80,"https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?auto=format&fit=crop&w=600&q=80","100% farm-fresh Banana (केला) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":21,""stock"":40},{""weight"":""500g"",""price"":40,""stock"":50},{""weight"":""1 kg"",""price"":76,""stock"":60},{""weight"":""2 kg"",""price"":148,""stock"":30}]"
"Pomegranate ( अनार)","Fruits",162,"1 kg",80,"https://images.unsplash.com/photo-1615485290382-441e4d049cb5?auto=format&fit=crop&w=600&q=80","100% farm-fresh Pomegranate ( अनार) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":45,""stock"":40},{""weight"":""500g"",""price"":84,""stock"":50},{""weight"":""1 kg"",""price"":162,""stock"":60},{""weight"":""2 kg"",""price"":316,""stock"":30}]"
"Mosambi (मोसंबी)","Fruits",108,"1 kg",80,"https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=600&q=80","100% farm-fresh Mosambi (मोसंबी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":30,""stock"":40},{""weight"":""500g"",""price"":56,""stock"":50},{""weight"":""1 kg"",""price"":108,""stock"":60},{""weight"":""2 kg"",""price"":211,""stock"":30}]"
"Pineapple (अनानास)","Fruits",94,"1 kg",80,"https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?auto=format&fit=crop&w=600&q=80","100% farm-fresh Pineapple (अनानास) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":26,""stock"":40},{""weight"":""500g"",""price"":49,""stock"":50},{""weight"":""1 kg"",""price"":94,""stock"":60},{""weight"":""2 kg"",""price"":183,""stock"":30}]"
"Kiwi (कीवी)","Fruits",160,"1 kg",80,"https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=600&q=80","100% farm-fresh Kiwi (कीवी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":45,""stock"":40},{""weight"":""500g"",""price"":83,""stock"":50},{""weight"":""1 kg"",""price"":160,""stock"":60},{""weight"":""2 kg"",""price"":312,""stock"":30}]"
"Dragon fruit (ड्रैगन फ्रूट)","Fruits",134,"1 kg",80,"https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=600&q=80","100% farm-fresh Dragon fruit (ड्रैगन फ्रूट) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":38,""stock"":40},{""weight"":""500g"",""price"":70,""stock"":50},{""weight"":""1 kg"",""price"":134,""stock"":60},{""weight"":""2 kg"",""price"":261,""stock"":30}]"
"Imported Avacado (एवोकाडो)","Exotics",180,"1 kg",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Imported Avacado (एवोकाडो) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":50,""stock"":40},{""weight"":""500g"",""price"":94,""stock"":50},{""weight"":""1 kg"",""price"":180,""stock"":60},{""weight"":""2 kg"",""price"":351,""stock"":30}]"
"Sweet Corn (स्वीट कॉर्न)","Exotics",45,"1 kg",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Sweet Corn (स्वीट कॉर्न) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":13,""stock"":40},{""weight"":""500g"",""price"":23,""stock"":50},{""weight"":""1 kg"",""price"":45,""stock"":60},{""weight"":""2 kg"",""price"":88,""stock"":30}]"
"Broccoli (ब्रोकॉली)","Exotics",380,"1 kg",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Broccoli (ब्रोकॉली) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":106,""stock"":40},{""weight"":""500g"",""price"":198,""stock"":50},{""weight"":""1 kg"",""price"":380,""stock"":60},{""weight"":""2 kg"",""price"":741,""stock"":30}]"
"Mushroom (मशरूम)","Exotics",54,"1 kg",80,"https://images.unsplash.com/photo-1504544750208-dc0358e63f7f?auto=format&fit=crop&w=600&q=80","100% farm-fresh Mushroom (मशरूम) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":15,""stock"":40},{""weight"":""500g"",""price"":28,""stock"":50},{""weight"":""1 kg"",""price"":54,""stock"":60},{""weight"":""2 kg"",""price"":105,""stock"":30}]"
"Baby Corn (बेबी कॉर्न)","Exotics",41,"1 kg",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Baby Corn (बेबी कॉर्न) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":11,""stock"":40},{""weight"":""500g"",""price"":21,""stock"":50},{""weight"":""1 kg"",""price"":41,""stock"":60},{""weight"":""2 kg"",""price"":80,""stock"":30}]"
"Red Capsicum (लाल शिमला मिर्च)","Exotics",420,"1 kg",80,"https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?auto=format&fit=crop&w=600&q=80","100% farm-fresh Red Capsicum (लाल शिमला मिर्च) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":118,""stock"":40},{""weight"":""500g"",""price"":218,""stock"":50},{""weight"":""1 kg"",""price"":420,""stock"":60},{""weight"":""2 kg"",""price"":819,""stock"":30}]"
"Yellow Capsicum (पीली शिमला मिर्च)","Exotics",420,"1 kg",80,"https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?auto=format&fit=crop&w=600&q=80","100% farm-fresh Yellow Capsicum (पीली शिमला मिर्च) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":118,""stock"":40},{""weight"":""500g"",""price"":218,""stock"":50},{""weight"":""1 kg"",""price"":420,""stock"":60},{""weight"":""2 kg"",""price"":819,""stock"":30}]"
"Green Zucchini (Zucchini)","Exotics",210,"1 kg",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Green Zucchini (Zucchini) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":59,""stock"":40},{""weight"":""500g"",""price"":109,""stock"":50},{""weight"":""1 kg"",""price"":210,""stock"":60},{""weight"":""2 kg"",""price"":410,""stock"":30}]"
"Yellow Zucchini (Zucchini)","Exotics",210,"1 kg",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Yellow Zucchini (Zucchini) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":59,""stock"":40},{""weight"":""500g"",""price"":109,""stock"":50},{""weight"":""1 kg"",""price"":210,""stock"":60},{""weight"":""2 kg"",""price"":410,""stock"":30}]"
"Mix sprouts (moong- chana) (अंकरित (मुंग -चना)-100 gm)","Exotics",14,"1 kg",80,"https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=600&q=80","100% farm-fresh Mix sprouts (moong- chana) (अंकरित (मुंग -चना)-100 gm) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":4,""stock"":40},{""weight"":""500g"",""price"":7,""stock"":50},{""weight"":""1 kg"",""price"":14,""stock"":60},{""weight"":""2 kg"",""price"":27,""stock"":30}]"
"Paneer (पनीर )","Dairy & Staples",386,"1 kg",80,"https://images.unsplash.com/photo-1631452180519-c014fe946bc7?auto=format&fit=crop&w=600&q=80","100% farm-fresh Paneer (पनीर ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":108,""stock"":40},{""weight"":""500g"",""price"":201,""stock"":50},{""weight"":""1 kg"",""price"":386,""stock"":60},{""weight"":""2 kg"",""price"":753,""stock"":30}]"
"Mawa / khoya (मावा / खोया )","Dairy & Staples",330,"1 kg",80,"https://images.unsplash.com/photo-1550583724-b2692b85b150?auto=format&fit=crop&w=600&q=80","100% farm-fresh Mawa / khoya (मावा / खोया ) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":92,""stock"":40},{""weight"":""500g"",""price"":172,""stock"":50},{""weight"":""1 kg"",""price"":330,""stock"":60},{""weight"":""2 kg"",""price"":644,""stock"":30}]"
"Buffalo Desi Ghee (देसी घी (भैंस))","Dairy & Staples",749,"1 kg",80,"https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?auto=format&fit=crop&w=600&q=80","100% farm-fresh Buffalo Desi Ghee (देसी घी (भैंस)) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":210,""stock"":40},{""weight"":""500g"",""price"":389,""stock"":50},{""weight"":""1 kg"",""price"":749,""stock"":60},{""weight"":""2 kg"",""price"":1461,""stock"":30}]"
"Cow Deshi Ghee (देशी घी (गाय))","Dairy & Staples",849,"1 kg",80,"https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?auto=format&fit=crop&w=600&q=80","100% farm-fresh Cow Deshi Ghee (देशी घी (गाय)) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Krishi Mandi & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":238,""stock"":40},{""weight"":""500g"",""price"":441,""stock"":50},{""weight"":""1 kg"",""price"":849,""stock"":60},{""weight"":""2 kg"",""price"":1656,""stock"":30}]"
